campaignId,categoryId,match
BP001,1,medium
BP001,2,medium
BP001,3,medium
BP001,4,medium
BP001,6,medium
BP001,7,medium
BP001,8,medium
BP001,9,medium
BP001,10,medium
BP001,13,medium
BP001,63,medium
BP001,66,medium
BP001,67,medium
BP001,69,medium
BP001,70,medium
BP001,71,medium
BP001,73,medium
BP001,74,medium
BP001,98,medium
BP001,106,medium
BP001,154,medium
BP002,33,medium
BP002,35,medium
BP002,36,medium
BP002,37,medium
BP002,41,medium
BP002,58,medium
BP002,59,medium
BP002,60,medium
BP002,61,medium
BP002,62,medium
BP002,63,medium
BP002,64,medium
BP002,65,medium
BP002,66,strong
BP002,67,medium
BP002,68,medium
BP002,69,medium
BP002,70,medium
BP002,71,medium
BP002,72,medium
BP002,73,medium
BP002,74,medium
BP002,75,medium
BP002,76,medium
BP002,77,medium
BP002,78,medium
BP002,79,medium
BP002,80,medium
BP002,81,medium
BP002,82,medium
BP002,85,medium
BP002,86,medium
BP002,87,medium
BP002,89,medium
BP002,90,medium
BP002,91,medium
BP002,92,medium
BP002,100,medium
BP002,101,medium
BP002,102,medium
BP002,103,medium
BP002,104,medium
BP002,105,medium
BP002,106,medium
BP002,107,medium
BP002,108,medium
BP002,109,medium
BP002,110,medium
BP002,111,medium
BP002,112,medium
BP002,113,medium
BP002,114,medium
BP002,115,medium
BP002,116,medium
BP002,117,medium
BP002,118,medium
BP002,119,medium
BP002,120,medium
BP002,121,medium
BP002,122,medium
BP002,123,medium
BP002,124,medium
BP002,125,medium
BP002,126,medium
BP002,127,medium
BP002,128,medium
BP002,129,medium
BP002,130,medium
BP002,131,medium
BP002,132,medium
BP002,133,medium
BP002,134,medium
BP002,135,medium
BP002,136,medium
BP002,137,medium
BP002,138,medium
BP002,139,medium
BP002,140,medium
BP002,141,medium
BP002,142,medium
BP002,143,medium
BP002,144,medium
BP002,145,medium
BP002,146,medium
BP002,147,medium
BP002,148,medium
BP002,149,medium
BP002,150,medium
BP002,151,medium
BP002,152,medium
BP002,153,medium
BP002,154,medium
BP002,155,medium
BP002,172,medium
BP002,173,medium
BP002,174,medium
BP002,175,medium
BP003,1,medium
BP003,2,medium
BP003,3,medium
BP003,4,medium
BP003,5,medium
BP003,6,medium
BP003,7,medium
BP003,8,medium
BP003,9,medium
BP003,10,medium
BP003,11,medium
BP003,12,medium
BP003,13,medium
BP003,14,medium
BP003,15,medium
BP003,17,medium
BP003,18,medium
BP003,19,medium
BP003,20,medium
BP003,22,medium
BP003,23,medium
BP003,24,medium
BP003,26,medium
BP003,27,medium
BP003,30,medium
BP003,42,medium
BP003,88,medium
BP003,93,medium
BP003,94,medium
BP003,95,medium
BP003,96,medium
BP003,97,medium
BP003,98,medium
BP004,58,strong
BP004,59,medium
BP004,60,strong
BP004,61,medium
BP004,62,strong
BP004,63,strong
BP004,64,strong
BP004,65,strong
BP004,66,strong
BP004,67,strong
BP004,68,strong
BP004,69,strong
BP004,70,strong
BP004,71,strong
BP004,73,strong
BP004,74,strong
BP004,75,strong
BP004,76,strong
BP004,77,strong
BP004,78,strong
BP004,79,strong
BP004,80,strong
BP004,81,strong
BP004,82,strong
BP004,85,strong
BP004,86,strong
BP004,87,strong
BP004,89,strong
BP004,90,strong
BP004,91,strong
BP004,92,strong
BP004,100,strong
BP004,101,strong
BP004,102,strong
BP004,103,medium
BP004,104,medium
BP004,105,medium
BP004,106,medium
BP004,107,medium
BP004,108,medium
BP004,109,medium
BP004,110,medium
BP004,111,medium
BP004,112,medium
BP004,113,medium
BP004,114,medium
BP004,115,medium
BP004,116,medium
BP004,132,medium
BP004,134,medium
BP004,138,medium
BP004,143,medium
BP004,144,medium
BP005,1,strong
BP005,2,strong
BP005,3,strong
BP005,4,strong
BP005,5,strong
BP005,6,strong
BP005,7,strong
BP005,8,strong
BP005,9,strong
BP005,10,strong
BP005,17,medium
BP005,20,medium
BP005,27,medium
BP005,30,medium
BP005,98,strong
